ID;Name;Designator;Footprint;Quantity;Manufacturer Part;Manufacturer;Supplier;Supplier Part;Price
1;100nF;C3,C4,C5,C6,C2;C0603;5;CL10B104KC8NNNC;SAMSUNG(三星);LCSC;C15725;0.006
2;10uF;C1;C0805;1;GRM21BR61H106KE43L;muRata(村田);LCSC;C440198;0.061
3;49.9Ω;R1,R2,R3,R4,R5;R0603;5;0603WAF499JT5E;UNI-ROYAL(厚声);LCSC;C23185;0.001
4;AFBR-S4N44P164M;D1;LGA-32_L16.0-W16.0_AFBR-S4N44P164M;1;AFBR-S4N44P164M;Broadcom / Avago;Mouser;630-AFBR-S4N44P164M;
